	comment	label
2028856	병신 틀딱들아니들 하는 짓거리가 공산당이랑 손잡는 거랑 무슨 차이냐	1
2025428	6000천평이면 2헥타에 2만헤베 밖에 안되는데 무슨 헛소리를 그리고 알기론 거기 자연녹지 보전구역이라 왠만한 서포터 가지고는 인허가 때리는 것도 지랄 같고 선산이면 종중인데 종중규약을 토대로 종중회의 열어서 결의서에 도장이나 잘 받아올수 있겠냐 종중재산 처분 이거 존나 골때리는 건데 땅에 지은 창고 임대료 불법 건축물을 신고 한고 한거냐선산 이냐 전답이냐 아빠한테 제대로 좀 알고 나중에 양도세 내기전에 임업후계자나 경영인 같은거 해서 세금이나 안 낼생각해라	1
2027924	대학다닐대 학비벌어야 되는 형편이라 1년 6개월정도 한진에서 까대기했는데글쓴 새끼처럼 주둥이질만 하다가 튀는 놈 존나 많더라 ㅋㅋ명절에 존나리 힘들긴했지만 거기도 사람사는 동네라 진짜 인생막장도 있고 거기밖에 없는 사람도 있고 대충 그렇더라 요즘은 외노자도 많겠지만 개인적으로 거기까지 가서 돈버는 외노자를 병신취급하는새끼가 더 병신새끼라고 확신한다그리고 돈은 존나 적게 주는거 같은데 존나 잘 쌓인다 그건 돈쓸 힘이 없어서다 ㅋㅋ 생각해보면 참 좃같네 여튼 개쌉좃같은 중노동인건 확실하다 그래서 병신 멸치새끼들이나 체력없는 돼지들은 아예 안가는게 맞고 똥폼잡으며 개쌉소리 씨부리면서 날뛰는 글쓴이처럼 근본부터 7살짜리 애새끼도 안 가는게 맞다그래도 돈필요하고 절박하면 못할일이 어디있냐 난 진짜 학비벌려고 절박해서 간곳이라 돌이켜 생각해보면 잘했다 싶다지금 좃밥같은 직업이라도 가질려고 존나 발버둥친건 솔찍히 조금 자랑스럽다	1
2005064	쿠팡은 허브 들어가자마자 휴대폰부터 걷더라그거보고 걍 하루하고 관뒀다	0
2018133	제보하겠습니다 추가 뒷광고 의혹네이버에 양팡 턱이라 치시면 블로그에 양팡이 사용한 로봇청소기라는 광고성 후기글이 있는데 로봇청소기 이사 선물로 시청자가 선물해주셨다고 했던 것 같은데 뒷광고 매우 의심되네요 이것 말고도 윤곽관리 인비절라인 롯데시네마 탄쪽갈비 치과상호 등등등 아주 영상마다 하나꼴로 하신거 같은데계속 삭제하네요 지우기 전에 퍼트려주세요	0
2023016	글쓰는알바 누구고용햇노	0
2010719	쪼꼼만밀어부치면 4만ㄱ바ㅣ다	0
2027490	그 빡대가리들이 문재앙 좋아함	1
2027382	야이 시발럼아	1
2014201	1215 딜교실패 ㅋㅋ루ㅋㅋ	0
2026067	꼭 똥을 먹어봐야 아노 ㅋㅋ 그동안 일베에서 수많은 게이들이 하지말라고 했었고 일베글에도 상하차관련글 여러개 있구만 ㅋㅋ	1
2020306	영화관 알바 정말 좋지만 온갖 종류의 진상을 다 만날 수 있습니다 반말은 기본 소리지르고 종이 찢어서 던지고 개인적으로 그중 제일은 이름표 보고 이름 부르며 뭐라하는거	0
2029524	근데 네 글보니 갑자기 궁금해 지네 좆이 ㅁㅈㅎ 돼도 알이 남아있다면 성욕은 생길 텐데 그거 어떻게 푸냐	1
2024975	댓글이 더 웃기네ㅋㅋ 더 해라 좋은 아이디어다 ㅇㅈㄹㅋㅋ 좆숭이 싫어하는 건 만국 공통인 듯	1
2028706	시대에 맞게 살아라 한심한 새끼야	1
2011471	면역력 약한 니가족 니지인들 슨타크땜에병 안걸렸을수도 있다 고마운줄 알아라닌 해충 죽일때 죄책감드는 정신 이상자냐	0
2007302	16000배	0
2013695	755너무웃기네 ㅋㅋㅋ	0
2028412	병신같은 꼬라지인데 보지달렷다고 갑질하는 보슬아치들도 많음	1
2013187	104 대익이형은 왜그러냐ㅋㅋ	0
2006035	아크원자로 만들일만 남았노이기	0
2023078	긴또깡 할때부터 설현 지민 알아봤지	0
2002429	이러니까 일베가 욕먹지	0
2027768	알려줘야 보지 ㅁㅊ넘아 알려줘라	1
2001557	욱일기는 사용해도 아무 문제 없다	0
2011033	오 400넘었네 누가 4만번째였냨ㅋㅋ	0
2001491	학살에서 사망으로 화제 전환 오지쥬 ㅋㅋ	0
2017302	이분 분노 사과 재밌음 ㅋㅋ 저번은 천둥호랑이더니 오늘은 이글아이네	0
2007975	긍정적이라 보기 좋다 맘 긍정적으로 먹어라	0
2022046	보겸군 자네는 왜 사과를 하는데 눈에서 살기가 가득한가	0
2018906	지민이 진짜 뭐냐ㅋㅋㅋ	0
2028608	35살이면 점장인줄 알걸 ㅋㅋ씨발 그나이 쳐먹고 대체 뭘했냐 ㅋㅋ	1
2028374	아 시발 손재주 죽이던 슨타크게이가 손이 날아갔다니 기분 존나 이상하네힘내라	1
2027150	군기랑 국기 구분 못하는 빡대가리 좌좀들 많다	1
2004379	왜 웃노 ㅋㅋ	0
2002579	임신 하는데	0
2013117	0008에서 핸드폰이 떨어진다	0
2019584	아쉽겠다 안걸렷으면 오래도록 해먹을수 있었을텐데	0
2012184	슨타크 로또 맞게 해주세요	0
2014058	59분부터 새로고침하는 내인생레전드	0
2012466	수현라사랑해	0
2015395	라라님은 스케일이 큰몰카를 하고 민뚜님은 소소한데 겁나 짜증나는 몰카네	0
2028778	조만간 임신 공격 들어온다에 홍어좆 518개 건다	1
2000364	이런게 일베감이지	0
2015071	443 미는거 레쟌드	0
2019983	언니제발영상더올려주세요	0
2007518	손가락은 다시 생길수 없냐	0
2015513	너무 웃겨용ㅜㅜ	0
2005578	안타깝다 왜그런거야	0
2022315	비호감 세명이네 ㅋㅋㅋ	0
2019973	언니마저믿었는데어쩔수없어요잘가요	0
2002530	평생 후회하면서 살거야 축하한다	0
2019049	진짜 너무좋아요 처음부터 끝까지 웃었어욬ㅋㅋㄱ진짜 할아버지 할머니 될때까지 해주세요ㅜ	0
2005068	내년에는 꼭 만원으로 올려라 제발 공약 지켜야지원칙을 지키는 게 우선 아닌가근데 좌파들은 그렇게 원칙과 청렴을 따지면서왜 올림픽은 정상적인 절차로 참여도 안한 북한을 참가 시키냐원칙과 절차는 다 개무시하고 북핵만 막으면 된다는 논리인데그럼 원전이나 박대통령의 독재나 이런 것도 같은 논리 아닌가 ㅋㅋ잘 살게 됐는데 독재 좀 하면 어떻고 나라에 이익이 오는데 리베이트 좀 하면 어떻냐내로남불일세	0
2021612	만약 전쟁나면 북한이 적이 아니라고 도망갈넘들이지이것만봐도 알수있지	0
2011168	앞으로 중간시험 기말시험 30점 넘게 해 주세요	0
2010448	아 했군아	0
2025928	따먹히고싶어서 안달났나 폰으로 저딴영상이나 찍고있노	1
2015785	가래침 할배 무엇	0
2007599	1위 찍자 이기야	0
2010318	막플 그만죽이고 바퀴벌레 그만죽이고 모기죽여라아니다 바퀴벌레죽이고 노짱 그만죽여라	0
2009083	진짜3만베가노이기	0
2009026	암베될뻔했는데 실패한국의 노구치박사가 되길바라	0
2027021	정신병자새끼 탄핵이 정답이다 저런 시발놈이 대통령	1
2015427	누나 누나가 잘못한건 나도 알아 그렇지만 누나가 많이 힘들어 하지 않았으면 좋겠어 누나도 누구에겐 정말 소중한 사람이자 하나밖에 없는 사람이야 그 댓글 단 사람 또는 악플러 등등 때문에 그런생각 안했으면 좋겠다	0
